	Unnamed: 0	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	isCorefKeep
23	23	pt/nt/45/nt_4509	3	4	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he kept between himself and his people.	made -> kept	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
24	24	pt/nt/45/nt_4509	3	5	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he disputes between himself and his people.	made -> disputes	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
25	25	pt/nt/45/nt_4509	3	6	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he seals between himself and his people.	made -> seals	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
26	26	pt/nt/45/nt_4509	3	7	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he broke between himself and his people.	made -> broke	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
27	27	pt/nt/45/nt_4509	3	8	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he held between himself and his people.	made -> held	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
28	28	pt/nt/45/nt_4509	3	9	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he sign between himself and his people.	made -> sign	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
29	29	pt/nt/45/nt_4509	3	10	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he strikes between himself and his people.	made -> strikes	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
30	30	pt/nt/45/nt_4509	3	11	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he settles between himself and his people.	made -> settles	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
31	31	pt/nt/45/nt_4509	3	12	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he breaks between himself and his people.	made -> breaks	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
32	32	pt/nt/45/nt_4509	3	13	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he called between himself and his people.	made -> called	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
33	33	pt/nt/45/nt_4509	3	14	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he sees between himself and his people.	made -> sees	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
34	34	pt/nt/45/nt_4509	3	15	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he calls between himself and his people.	made -> calls	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
35	35	pt/nt/45/nt_4509	3	16	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he maintains between himself and his people.	made -> maintains	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
36	36	pt/nt/45/nt_4509	3	17	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he found between himself and his people.	made -> found	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
37	37	pt/nt/45/nt_4509	3	18	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he settled between himself and his people.	made -> settled	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
38	38	pt/nt/45/nt_4509	3	19	They have the glory of God and the agreements he made between himself and his people.	They have the glory of God and the agreements he negotiate between himself and his people.	made -> negotiate	False	True	[[[12, 12], [5, 5], [14, 14], [9, 9]], [[14, 15], [0, 0]]]	[['himself', 'God', 'his', 'he'], ['his people', 'They']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	[[[14, 14], [5, 5], [9, 9], [12, 12]]]	[['his', 'God', 'he', 'himself']]	False
80	80	wb/a2e/00/a2e_0019	4	0	And he committed himself to the worship of God. And remained loyal to God.	And he admitted himself to the worship of God . And remained loyal to God.	committed -> admitted	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
81	81	wb/a2e/00/a2e_0019	4	1	And he committed himself to the worship of God. And remained loyal to God.	And he pledged himself to the worship of God . And remained loyal to God.	committed -> pledged	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
82	82	wb/a2e/00/a2e_0019	4	2	And he committed himself to the worship of God. And remained loyal to God.	And he added himself to the worship of God . And remained loyal to God.	committed -> added	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
83	83	wb/a2e/00/a2e_0019	4	3	And he committed himself to the worship of God. And remained loyal to God.	And he inclined himself to the worship of God . And remained loyal to God.	committed -> inclined	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
84	84	wb/a2e/00/a2e_0019	4	4	And he committed himself to the worship of God. And remained loyal to God.	And he put himself to the worship of God . And remained loyal to God.	committed -> put	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
85	85	wb/a2e/00/a2e_0019	4	5	And he committed himself to the worship of God. And remained loyal to God.	And he reduced himself to the worship of God . And remained loyal to God.	committed -> reduced	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
86	86	wb/a2e/00/a2e_0019	4	6	And he committed himself to the worship of God. And remained loyal to God.	And he fitted himself to the worship of God . And remained loyal to God.	committed -> fitted	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
87	87	wb/a2e/00/a2e_0019	4	7	And he committed himself to the worship of God. And remained loyal to God.	And he restricted himself to the worship of God . And remained loyal to God.	committed -> restricted	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
88	88	wb/a2e/00/a2e_0019	4	8	And he committed himself to the worship of God. And remained loyal to God.	And he bound himself to the worship of God . And remained loyal to God.	committed -> bound	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
89	89	wb/a2e/00/a2e_0019	4	9	And he committed himself to the worship of God. And remained loyal to God.	And he opened himself to the worship of God . And remained loyal to God.	committed -> opened	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
90	90	wb/a2e/00/a2e_0019	4	10	And he committed himself to the worship of God. And remained loyal to God.	And he limited himself to the worship of God . And remained loyal to God.	committed -> limited	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
91	91	wb/a2e/00/a2e_0019	4	11	And he committed himself to the worship of God. And remained loyal to God.	And he subjected himself to the worship of God . And remained loyal to God.	committed -> subjected	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
92	92	wb/a2e/00/a2e_0019	4	12	And he committed himself to the worship of God. And remained loyal to God.	And he set himself to the worship of God . And remained loyal to God.	committed -> set	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
93	93	wb/a2e/00/a2e_0019	4	13	And he committed himself to the worship of God. And remained loyal to God.	And he made himself to the worship of God . And remained loyal to God.	committed -> made	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
94	94	wb/a2e/00/a2e_0019	4	14	And he committed himself to the worship of God. And remained loyal to God.	And he subject himself to the worship of God . And remained loyal to God.	committed -> subject	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
95	95	wb/a2e/00/a2e_0019	4	15	And he committed himself to the worship of God. And remained loyal to God.	And he presented himself to the worship of God . And remained loyal to God.	committed -> presented	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
96	96	wb/a2e/00/a2e_0019	4	16	And he committed himself to the worship of God. And remained loyal to God.	And he taught himself to the worship of God . And remained loyal to God.	committed -> taught	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
97	97	wb/a2e/00/a2e_0019	4	17	And he committed himself to the worship of God. And remained loyal to God.	And he resolved himself to the worship of God . And remained loyal to God.	committed -> resolved	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
98	98	wb/a2e/00/a2e_0019	4	18	And he committed himself to the worship of God. And remained loyal to God.	And he restored himself to the worship of God . And remained loyal to God.	committed -> restored	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
99	99	wb/a2e/00/a2e_0019	4	19	And he committed himself to the worship of God. And remained loyal to God.	And he converted himself to the worship of God . And remained loyal to God.	committed -> converted	False	True	[[[8, 8], [14, 14]], [[1, 1], [3, 3]]]	[['God', 'God'], ['he', 'himself']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	[[[1, 1], [3, 3]], [[4, 4], [8, 8]]]	[['he', 'himself'], ['to', 'God']]	True
170	170	pt/nt/46/nt_4609	8	17	No soldier ever serves in the army and pays his own salary.	No soldier ever involved in the army and pays his own salary.	serves -> involved	True	False	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 6], [9, 9]]]	[['No soldier ever involved in the army', 'his']]	True
153	153	pt/nt/46/nt_4609	8	0	No soldier ever serves in the army and pays his own salary.	No soldier also serves in the army and pays his own salary.	ever -> also	True	True	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	True
154	154	pt/nt/46/nt_4609	8	1	No soldier ever serves in the army and pays his own salary.	No soldier never serves in the army and pays his own salary.	ever -> never	True	True	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	True
155	155	pt/nt/46/nt_4609	8	2	No soldier ever serves in the army and pays his own salary.	No soldier actually serves in the army and pays his own salary.	ever -> actually	True	True	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	True
156	156	pt/nt/46/nt_4609	8	3	No soldier ever serves in the army and pays his own salary.	No soldier still serves in the army and pays his own salary.	ever -> still	True	True	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	True
157	157	pt/nt/46/nt_4609	8	4	No soldier ever serves in the army and pays his own salary.	No soldier ever stays in the army and pays his own salary.	serves -> stays	True	True	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	True
158	158	pt/nt/46/nt_4609	8	5	No soldier ever serves in the army and pays his own salary.	No soldier ever trained in the army and pays his own salary.	serves -> trained	True	True	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	[[[0, 1], [9, 9]]]	[['No soldier', 'his']]	True
